Ship Update,Lerper Ship Update,Orbit update,Ship Draw,Lerper Ship Draw,Orbit Draw
9.5728e-005,6.53752e-006,0,0.00313007,0.000279712,3.87582e-005
2.7551e-005,3.73573e-006,0,0.00209528,0.000274109,3.59564e-005
1.58768e-005,2.33483e-006,0,0.00196639,0.000268505,3.22206e-005
1.58768e-005,2.33483e-006,0,0.00190148,0.000251228,2.98858e-005
0.000647214,2.33483e-006,0,0.00195659,0.000267571,3.17537e-005
1.58768e-005,2.33483e-006,0,0.00191082,0.000252161,3.03528e-005
1.58768e-005,2.33483e-006,0,0.00194351,0.000268038,3.26876e-005
1.91456e-005,2.33483e-006,0,0.00198367,0.000285316,3.17537e-005
1.3542e-005,2.33483e-006,0,0.00189775,0.000251694,3.08197e-005
1.49429e-005,2.33483e-006,4.66966e-007,0.00187066,0.000250294,3.03528e-005
1.49429e-005,2.33483e-006,0,0.00186086,0.000242355,2.98858e-005
1.49429e-005,2.33483e-006,4.66966e-007,0.00188047,0.000249827,3.08197e-005
1.49429e-005,2.33483e-006,4.66966e-007,0.0018772,0.000242822,2.98858e-005
1.44759e-005,2.33483e-006,0,0.00195378,0.000265237,3.22206e-005
1.63438e-005,2.33483e-006,0,0.00185712,0.000251228,3.08197e-005
1.49429e-005,2.33483e-006,0,0.00186086,0.000251694,3.03528e-005
1.63438e-005,2.33483e-006,4.66966e-007,0.00211395,0.000289986,3.40885e-005
1.54099e-005,2.33483e-006,0,0.00186506,0.000263369,2.98858e-005
1.4009e-005,2.33483e-006,4.66966e-007,0.00185292,0.000251228,3.03528e-005
1.4009e-005,2.33483e-006,4.66966e-007,0.00196546,0.000341352,5.08993e-005
1.49429e-005,2.33483e-006,4.66966e-007,0.00191783,0.000255897,3.03528e-005
1.58768e-005,2.80179e-006,0,0.00203737,0.00028625,3.50224e-005
1.58768e-005,2.80179e-006,4.66966e-007,0.00185432,0.000254029,2.98858e-005
1.4009e-005,2.33483e-006,4.66966e-007,0.00180249,0.000242822,2.98858e-005
1.54099e-005,2.33483e-006,0,0.00181416,0.000242822,3.03528e-005
1.44759e-005,1.86786e-006,0,0.00226338,0.000370771,3.96921e-005
1.49429e-005,2.33483e-006,0,0.00200655,0.000267104,3.31546e-005
